기준_월,기준_일,행정동_명,시군구_코드,행정동_코드,서비스인구,주거인구,직장인구,방문인구,총 인구
12,1,내외동,48250,4825054000,85049,65678.39654,8783.474592,10587.12887,85049
12,2,내외동,48250,4825054000,84243,65055.96961,8700.234571,10486.79581,84243
12,3,내외동,48250,4825054000,85215,65806.58869,8800.618318,10607.793,85215
12,4,내외동,48250,4825054000,84983,65627.42858,8776.658412,10578.91301,84983
12,5,내외동,48250,4825054000,84863,65534.75956,8764.265356,10563.97509,84863
12,6,내외동,48250,4825054000,84805,65489.96953,8758.27538,10556.75509,84805
12,7,내외동,48250,4825054000,84081,64930.86644,8683.503947,10466.62962,84081
12,8,내외동,48250,4825054000,83545,64516.94481,8628.1483,10399.90689,83545
12,9,내외동,48250,4825054000,83890,64783.36824,8663.778334,10442.85342,83890
12,10,내외동,48250,4825054000,84787,65476.06918,8756.416421,10554.5144,84787
12,11,내외동,48250,4825054000,83976,64849.78104,8672.660023,10453.55893,83976
12,12,내외동,48250,4825054000,83538,64511.53912,8627.425372,10399.03551,83538
12,13,내외동,48250,4825054000,84486,65243.62438,8725.330508,10517.04511,84486
12,14,내외동,48250,4825054000,84315,65111.57103,8707.670404,10495.75857,84315
12,15,내외동,48250,4825054000,84547,65290.73114,8731.630311,10524.63855,84547
12,16,내외동,48250,4825054000,85482,66012.77726,8828.192866,10641.02988,85482
12,17,내외동,48250,4825054000,85690,66173.40356,8849.674162,10666.92228,85690
12,18,내외동,48250,4825054000,85595,66100.04059,8839.862993,10655.09642,85595
12,19,내외동,48250,4825054000,85014,65651.36808,8779.859951,10582.77197,85014
12,20,내외동,48250,4825054000,85016,65652.91256,8780.066502,10583.02094,85016
12,21,내외동,48250,4825054000,84650,65370.27205,8742.267683,10537.46027,84650
12,22,내외동,48250,4825054000,85107,65723.18657,8789.464569,10594.34886,85107
12,23,내외동,48250,4825054000,84972,65618.93392,8775.522381,10577.5437,84972
12,24,내외동,48250,4825054000,85752,66221.28256,8856.07724,10674.6402,85752
12,25,내외동,48250,4825054000,85449,65987.29328,8824.784776,10636.92195,85449
12,26,내외동,48250,4825054000,83814,64724.67786,8655.929399,10433.39274,83814
12,27,내외동,48250,4825054000,85075,65698.47483,8786.159754,10590.36542,85075
12,28,내외동,48250,4825054000,84534,65280.69199,8730.28773,10523.02028,84534
12,29,내외동,48250,4825054000,85018,65654.45704,8780.273053,10583.2699,85018
12,30,내외동,48250,4825054000,84604,65334.74892,8737.517012,10531.73407,84604
12,31,내외동,48250,4825054000,84818,65500.00867,8759.617961,10558.37336,84818
12,1,대동면,48250,4825037000,10933,4895.959298,1555.492541,4481.548161,10933
12,2,대동면,48250,4825037000,10936,4897.302743,1555.919366,4482.777892,10936
12,3,대동면,48250,4825037000,13156,5891.451617,1871.769859,5392.778524,13156
12,4,대동면,48250,4825037000,13671,6122.076243,1945.041482,5603.882275,13671
12,5,대동면,48250,4825037000,13953,6248.360019,1985.163031,5719.47695,13953
12,6,대동면,48250,4825037000,10979,4916.558779,1562.037191,4500.40403,10979
12,7,대동면,48250,4825037000,10918,4889.242076,1553.358416,4475.399508,10918
12,8,대동면,48250,4825037000,11176,5004.778297,1590.065365,4581.156338,11176
12,9,대동면,48250,4825037000,10791,4832.369595,1535.289491,4423.340913,10791
12,10,대동면,48250,4825037000,12635,5658.140102,1797.644585,5179.215313,12635
12,11,대동면,48250,4825037000,13383,5993.105578,1904.066283,5485.828139,13383
12,12,대동면,48250,4825037000,13813,6185.665946,1965.244532,5662.089522,13813
12,13,대동면,48250,4825037000,10617,4754.449819,1510.533642,4352.016539,10617
12,14,대동면,48250,4825037000,10518,4710.116153,1496.448417,4311.43543,10518
12,15,대동면,48250,4825037000,10880,4872.225113,1547.951966,4459.822921,10880
12,16,대동면,48250,4825037000,10616,4754.002004,1510.391367,4351.606629,10616
12,17,대동면,48250,4825037000,11820,5293.171033,1681.690463,4845.138504,11820
12,18,대동면,48250,4825037000,11543,5169.126331,1642.280289,4731.59338,11543
12,19,대동면,48250,4825037000,12622,5652.318509,1795.79501,5173.88648,12622
12,20,대동면,48250,4825037000,10408,4660.856524,1480.798167,4266.345309,10408
12,21,대동면,48250,4825037000,10609,4750.8673,1509.395442,4348.737258,10609
12,22,대동면,48250,4825037000,11076,4959.996816,1575.837865,4540.165319,11076
12,23,대동면,48250,4825037000,10774,4824.756744,1532.870816,4416.37244,10774
12,24,대동면,48250,4825037000,13005,5823.831581,1850.286334,5330.882085,13005
12,25,대동면,48250,4825037000,12431,5566.785881,1768.620486,5095.593633,12431
12,26,대동면,48250,4825037000,12171,5450.354031,1731.628987,4989.016982,12171
12,27,대동면,48250,4825037000,10740,4809.53104,1528.033466,4402.435493,10740
12,28,대동면,48250,4825037000,11091,4966.714038,1577.97199,4546.313972,11091
12,29,대동면,48250,4825037000,11818,5292.275403,1681.405913,4844.318683,11818
12,30,대동면,48250,4825037000,11720,5248.389552,1667.462963,4804.147484,11720
12,31,대동면,48250,4825037000,15034,6732.447827,2138.962303,6162.58987,15034
12,1,동상동,48250,4825051000,10311,7348.841928,1040.696691,1921.461381,10311
12,2,동상동,48250,4825051000,10364,7386.616016,1046.046019,1931.337965,10364
12,3,동상동,48250,4825051000,10303,7343.140179,1039.889245,1919.970576,10303
12,4,동상동,48250,4825051000,10096,7195.607419,1018.996585,1881.395995,10096
12,5,동상동,48250,4825051000,10476,7466.440504,1057.35026,1952.209236,10476
12,6,동상동,48250,4825051000,10492,7477.844002,1058.965152,1955.190846,10492
12,7,동상동,48250,4825051000,10342,7370.936206,1043.825543,1927.238251,10342
12,8,동상동,48250,4825051000,10700,7626.08948,1079.958743,1993.951778,10700
12,9,동상동,48250,4825051000,10710,7633.216666,1080.96805,1995.815284,10710
12,10,동상동,48250,4825051000,10545,7515.61809,1064.31448,1965.06743,10545
12,11,동상동,48250,4825051000,10432,7435.080883,1052.909309,1944.009808,10432
12,12,동상동,48250,4825051000,10441,7441.495351,1053.817685,1945.686964,10441
12,13,동상동,48250,4825051000,10722,7641.76929,1082.179218,1998.051492,10722
12,14,동상동,48250,4825051000,10651,7591.166266,1075.013137,1984.820597,10651
12,15,동상동,48250,4825051000,10638,7581.900924,1073.701038,1982.398038,10638
12,16,동상동,48250,4825051000,10586,7544.839555,1068.45264,1972.707805,10586
12,17,동상동,48250,4825051000,10541,7512.767216,1063.910757,1964.322027,10541
12,18,동상동,48250,4825051000,10266,7316.769589,1036.154808,1913.075603,10266
12,19,동상동,48250,4825051000,10641,7584.03908,1074.00383,1982.95709,10641
12,20,동상동,48250,4825051000,10660,7597.580734,1075.921514,1986.497752,10660
12,21,동상동,48250,4825051000,10619,7568.35927,1071.783354,1978.857376,10619
12,22,동상동,48250,4825051000,10723,7642.482009,1082.280149,1998.237842,10723
12,23,동상동,48250,4825051000,10844,7728.720964,1094.492767,2020.786269,10844
12,24,동상동,48250,4825051000,10846,7730.146402,1094.694628,2021.15897,10846
12,25,동상동,48250,4825051000,10501,7484.25847,1059.873529,1956.868002,10501
12,26,동상동,48250,4825051000,10517,7495.661968,1061.48842,1959.849612,10517
12,27,동상동,48250,4825051000,10699,7625.376761,1079.857812,1993.765427,10699
12,28,동상동,48250,4825051000,10715,7636.780259,1081.472703,1996.747037,10715
12,29,동상동,48250,4825051000,10791,7690.946876,1089.143438,2010.909685,10791
12,30,동상동,48250,4825051000,10731,7648.183758,1083.087595,1999.728647,10731
12,31,동상동,48250,4825051000,10608,7560.519365,1070.673116,1976.807519,10608
12,1,부원동,48250,4825053000,17498,8377.006633,4156.370363,4964.623004,17498
12,2,부원동,48250,4825053000,17745,8495.255612,4215.041267,5034.703121,17745
12,3,부원동,48250,4825053000,17632,8441.157901,4188.199922,5002.642177,17632
12,4,부원동,48250,4825053000,15313,7330.957971,3637.358519,4344.68351,15313
12,5,부원동,48250,4825053000,14650,7013.552816,3479.873461,4156.573723,14650
12,6,부원동,48250,4825053000,17681,8464.616201,4199.83909,5016.54471,17681
12,7,부원동,48250,4825053000,17412,8335.834924,4135.942437,4940.222639,17412
12,8,부원동,48250,4825053000,17068,8171.148086,4054.230732,4842.621181,17068
12,9,부원동,48250,4825053000,16837,8060.55896,3999.360373,4777.080667,16837
12,10,부원동,48250,4825053000,17408,8333.91996,4134.992301,4939.087739,17408
12,11,부원동,48250,4825053000,16252,7780.495588,3860.402968,4611.101444,16252
12,12,부원동,48250,4825053000,14746,7059.511933,3502.676727,4183.811339,14746
12,13,부원동,48250,4825053000,17108,8190.297718,4063.732093,4853.970188,17108
12,14,부원동,48250,4825053000,16521,7909.276865,3924.299621,4687.423514,16521
12,15,부원동,48250,4825053000,17557,8405.252341,4170.384871,4981.362789,17557
12,16,부원동,48250,4825053000,17019,8147.689787,4042.591565,4828.718648,17019
12,17,부원동,48250,4825053000,17464,8360.729445,4148.294206,4954.976348,17464
12,18,부원동,48250,4825053000,15968,7644.533199,3792.943305,4530.523496,15968
12,19,부원동,48250,4825053000,15742,7536.337777,3739.260616,4466.401608,15742
12,20,부원동,48250,4825053000,17466,8361.686927,4148.769274,4955.543799,17466
12,21,부원동,48250,4825053000,17307,8285.567139,4111.001364,4910.431497,17307
12,22,부원동,48250,4825053000,17364,8312.855365,4124.540804,4926.603831,17364
12,23,부원동,48250,4825053000,17134,8202.744979,4069.907978,4861.347043,17134
12,24,부원동,48250,4825053000,17519,8387.06019,4161.358578,4970.581233,17519
12,25,부원동,48250,4825053000,15790,7559.317335,3750.662249,4480.020416,15790
12,26,부원동,48250,4825053000,14131,6765.086337,3356.593302,4009.320361,14131
12,27,부원동,48250,4825053000,17280,8272.641137,4104.587946,4902.770917,17280
12,28,부원동,48250,4825053000,17241,8253.970246,4095.324119,4891.705636,17241
12,29,부원동,48250,4825053000,17231,8249.182838,4092.948778,4888.868384,17231
12,30,부원동,48250,4825053000,17430,8344.452258,4140.218049,4945.329693,17430
12,31,부원동,48250,4825053000,17771,8507.702873,4221.217152,5042.079975,17771
12,1,북부동,48250,4825055000,90751,73218.0082,7607.423145,9925.568654,90751
12,2,북부동,48250,4825055000,91045,73455.20773,7632.06841,9957.723861,91045
12,3,북부동,48250,4825055000,90748,73215.5878,7607.171663,9925.24054,90748
12,4,북부동,48250,4825055000,88587,71472.09058,7426.020585,9688.888832,88587
12,5,북부동,48250,4825055000,90001,72612.90736,7544.552572,9843.540065,90001
12,6,북부동,48250,4825055000,91550,73862.64229,7674.401262,10012.95644,91550
12,7,북부동,48250,4825055000,92014,74236.99801,7713.29719,10063.7048,92014
